firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
Serena,L,Butler,sbutler,sbutler@ginaz.org,3312 By the Beach,Los Angeles,99999,CA,United States,IT Support,Chalc0pyr1te!123,999-8888-1234,Administrator,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Feyd,R,Raban,fraban,fraban@ginaz.org,3313 By the Beach,Los Angeles,99999,CA,United States,IT Support,Chalc0pyr1te!123,999-8888-1235,Administrator,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Thufir,A,Hawat,thawat,thawat@ginaz.org,3314 By the Beach,Los Angeles,99999,CA,United States,IT Support,Chalc0pyr1te!123,999-8888-1236,Administrator,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
James,A,Hutton,jhutton,jhutton@ginaz.org,3315 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1237,Test Engineer,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Charles,A,Darwin,cdarwin,cdarwin@ginaz.org,3316 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1238,Test Engineer,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
William,A,Smith,wsmith,wsmith@ginaz.org,3317 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1239,Test Engineer,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
John,A,Muir,jmuir,jmuir@ginaz.org,3318 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1240,Test Engineer,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Charles,A,Lyell,mlyell,mlyell@ginaz.org,3319 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1241,Test Engineer,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Mary,A,Lyell,clyell,clyell@ginaz.org,3320 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1242,Storage Admin,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Alfred,A,Wegener,awegener,awegener@ginaz.org,3321 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1243,Storage Admin,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Inge,A,Lehman,ilehman,ilehman@ginaz.org,3322 By the Beach,Haifa,99999,CA,Isreal,Engineering,Chalc0pyr1te!123,999-8888-1244,Storage Admin,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
George,A,Cuvier,gcuvier,gcuvier@ginaz.org,3323 By the Beach,Munich,99999,CA,Germany,Office Staff,Chalc0pyr1te!123,999-8888-1245,Test User,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Marie,A,Tharp,mtharp,mtharp@ginaz.org,3324 By the Beach,Munich,99999,CA,Germany,Office Staff,Chalc0pyr1te!123,999-8888-1246,Test User,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Charles,A,Richter,crichter,crichter@ginaz.org,3325 By the Beach,Munich,99999,CA,Germany,Office Staff,Chalc0pyr1te!123,999-8888-1247,Test User,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
Florence,A,Bascom,fbascom,fbascom@ginaz.org,3326 By the Beach,Austin,99999,CA,United States,Office Staff,Chalc0pyr1te!123,999-8888-1248,Test User,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
John,W,Powell,jpowell,jpowell@ginaz.org,3327 By the Beach,Austin,99999,CA,United States,Office Staff,Chalc0pyr1te!123,999-8888-1249,Test User,SwordMasters,"OU=Users,OU=Ginaz,DC=ginaz,DC=org"
